iter	Passed	Remaining
957	47920	2100
958	47977	2051
959	48023	2000
960	48062	1950
961	48109	1900
962	48151	1850
963	48195	1799
964	48246	1749
965	48291	1699
966	48336	1649
967	48377	1599
968	48424	1549
969	48474	1499
970	48520	1449
971	48562	1398
972	48607	1348
973	48659	1298
974	48706	1248
975	48753	1198
976	48798	1148
977	48844	1098
978	48893	1048
979	48933	998
980	48977	948
981	49023	898
982	49064	848
983	49109	798
984	49157	748
985	49200	698
986	49244	648
987	49286	598
988	49334	548
989	49379	498
990	49420	448
991	49465	398
992	49509	349
993	49553	299
994	49603	249
995	49652	199
996	49701	149
997	49747	99
998	49800	49
999	49847	0
